 Year,Month,Producer Type,Fuel (D Code),FuelCategory,RINs,Volume
2023,3,Foreign Generation,D6,Non-ester Renewable Diesel (EV 1.7),"13,696,092","8,056,525"
2023,3,Importer,D6,Non-cellulosic Ethanol (EV 1.0),"1,130,698","1,130,698"
2023,4,Domestic,D3,Renewable Compressed Natural Gas,"55,993,236","55,993,236"
2023,4,Domestic,D3,Renewable Liquefied Natural Gas,"4,355,847","4,355,847"
2023,4,Importer,D3,Renewable Liquefied Natural Gas,"3,463,427","3,463,427"
2023,4,Importer,D3,Renewable Compressed Natural Gas,"201,463","201,463"
2023,4,Domestic,D4,Non-ester Renewable Diesel (EV 1.7),"230,428,408","135,546,066"
2023,4,Domestic,D4,Biodiesel (EV 1.5),"200,755,805","133,835,520"
2023,4,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.7),"57,638,660","33,905,094"
2023,4,Domestic,D4,Non-ester Renewable Diesel (EV 1.6),"54,359,466","33,974,667"
2023,4,Importer,D4,Biodiesel (EV 1.5),"52,446,720","34,964,458"
2023,4,Foreign Generation,D4,Non-ester Renewable Diesel (EV 1.6),"4,065,803","2,541,127"
2023,4,Foreign Generation,D4,Renewable Jet Fuel (EV 1.6),"2,236,686","1,397,929"
2023,4,Domestic,D4,Renewable Jet Fuel (EV 1.6),"1,461,634","913,521"
2023,4,Domestic,D4,Renewable Heating Oil (EV 1.6),"146,317","91,448"
2023,4,Domestic,D5,Non-ester Renewable Diesel (EV 1.7),"8,307,574","4,886,807"
2023,4,Domestic,D5,Naphtha (EV 1.5),"5,997,515","3,998,333"
2023,4,Domestic,D5,Non-cellulosic Ethanol (EV 1.0),"2,058,614","2,058,614"
2023,4,Domestic,D5,Renewable Compressed Natural Gas,"586,374","586,374"
